noise,n,m,clean,noisy,two_stage
1.0,1000,0,98.08816886419437,98.22226989735248,98.22226989735248
1.0,1000,1000,303.49752195654725,181.04986717390912,181.0498671739092
1.0,1000,5000,97.7275143182221,97.8343641309882,97.8343641309882
1.0,1000,10000,92.06394647332635,95.29218666535884,95.29218666535886
1.0,1000,30000,4435.535393656643,328.4502875242924,328.4502875242924
1.0,2000,0,851.6383585440548,207.20922404776397,207.20922404776363
1.0,2000,1000,95.07933959502724,95.9605210831103,95.9605210831103
1.0,2000,5000,93.70421209135431,94.7545111936924,94.75451119369238
1.0,2000,10000,92.03820770026488,94.81253392096,94.81253392096
1.0,2000,30000,94.57070614434504,95.66565532396184,95.66565532396184
1.0,5000,0,95.39432801325486,96.22417863266199,96.22417863266199
1.0,5000,1000,102.80491365847463,103.71315307102603,103.713153071026
1.0,5000,5000,100.493195150027,99.35054825832782,99.35054825832782
1.0,5000,10000,96.04049198582771,96.67693865776421,96.67693865776421
1.0,5000,30000,92.28306151449527,95.51481806760931,95.51481806760931
1.0,10000,0,93.36941187102263,95.58579993187931,95.58579993187931
1.0,10000,1000,92.66001685317626,94.48503442709443,94.48503442709443
1.0,10000,5000,98.32126308092569,97.00021396444441,97.00021396444441
1.0,10000,10000,91.92246990272513,94.23632407900337,94.23632407900337
1.0,10000,30000,95.2871348615454,96.77752056493239,96.77752056493239
3.0,1000,0,98.08816886419437,98.28507695375156,98.28507695375156
3.0,1000,1000,303.49752195654725,138.40441902125403,138.40441902125403
3.0,1000,5000,97.7275143182221,97.98524482003059,97.98524482003059
3.0,1000,10000,92.06394647332635,98.6089009492276,98.6089009492276
3.0,1000,30000,4435.535393656643,161.04646783582066,161.0464678358207
3.0,2000,0,851.6383585440548,134.35953027735886,134.35953027735883
3.0,2000,1000,95.07933959502724,96.9079303389421,96.9079303389421
3.0,2000,5000,93.70421209135431,96.54461245032142,96.54461245032142
3.0,2000,10000,92.03820770026488,97.05115437934612,97.0511543793461
3.0,2000,30000,94.57070614434504,96.74573585893029,96.74573585893029
3.0,5000,0,95.39432801325486,96.95857548074315,96.95857548074315
3.0,5000,1000,102.80491365847463,104.13430031219217,104.13430031219217
3.0,5000,5000,100.493195150027,99.3842954213703,99.38429542137028
3.0,5000,10000,96.04049198582771,97.2798669095966,97.2798669095966
3.0,5000,30000,92.28306151449527,97.1981963837783,97.1981963837783
3.0,10000,0,93.36941187102263,97.4580470986399,97.45804709863991
3.0,10000,1000,92.66001685317626,96.28384496570287,96.28384496570287
3.0,10000,5000,98.32126308092569,98.10324854607907,98.10324854607907
3.0,10000,10000,91.92246990272513,96.29191982843898,96.29191982843899
3.0,10000,30000,95.2871348615454,97.60845891751353,97.60845891751353
5.0,1000,0,98.08816886419437,98.29270271139008,98.29270271139008
5.0,1000,1000,303.49752195654725,134.948683146769,134.948683146769
5.0,1000,5000,97.7275143182221,98.01894912539169,98.01894912539169
5.0,1000,10000,92.06394647332635,99.18783087970904,99.18783087970904
5.0,1000,30000,4435.535393656643,150.74261595296943,150.74261595296943
5.0,2000,0,851.6383585440548,130.2151866546833,130.2151866546833
5.0,2000,1000,95.07933959502724,97.08796380777864,97.08796380777864
5.0,2000,5000,93.70421209135431,96.8043786807555,96.8043786807555
5.0,2000,10000,92.03820770026488,97.40146244284016,97.40146244284016
5.0,2000,30000,94.57070614434504,96.93703977786465,96.93703977786465
5.0,5000,0,95.39432801325486,97.07920815075116,97.07920815075116
5.0,5000,1000,102.80491365847463,104.190603685442,104.190603685442
5.0,5000,5000,100.493195150027,99.5802286482117,99.5802286482117
5.0,5000,10000,96.04049198582771,97.3824634863118,97.3824634863118
5.0,5000,30000,92.28306151449527,97.39330775162612,97.39330775162612
5.0,10000,0,93.36941187102263,97.78155582191786,97.78155582191786
5.0,10000,1000,92.66001685317626,96.60038639076211,96.60038639076211
5.0,10000,5000,98.32126308092569,98.44565170898666,98.44565170898666
5.0,10000,10000,91.92246990272513,96.63849726042969,96.63849726042969
5.0,10000,30000,95.2871348615454,97.72077333019175,97.72077333019175
10.0,1000,0,98.08816886419437,98.29618908953377,98.29618908953377
10.0,1000,1000,303.49752195654725,133.81727702358882,133.81727702358884
10.0,1000,5000,97.7275143182221,98.0376873255756,98.0376873255756
10.0,1000,10000,92.06394647332635,99.47710912290388,99.47710912290388
10.0,1000,30000,4435.535393656643,146.1829369771669,146.1829369771669
10.0,2000,0,851.6383585440548,128.8242812106077,128.82428121060784
10.0,2000,1000,95.07933959502724,97.18097216119558,97.18097216119558
10.0,2000,5000,93.70421209135431,96.93437994677815,96.93437994677815
10.0,2000,10000,92.03820770026488,97.5728048758495,97.5728048758495
10.0,2000,30000,94.57070614434504,97.03355315003094,97.03355315003094
10.0,5000,0,95.39432801325486,97.13596140831686,97.13596140831686
10.0,5000,1000,102.80491365847463,104.21813352312594,104.21813352312594
10.0,5000,5000,100.493195150027,99.79195012975343,99.79195012975343
10.0,5000,10000,96.04049198582771,97.4333221638462,97.4333221638462
10.0,5000,30000,92.28306151449527,97.47410727462716,97.47410727462716
10.0,10000,0,93.36941187102263,97.96288886676962,97.96288886676962
10.0,10000,1000,92.66001685317626,96.7672630510309,96.76726305103088
10.0,10000,5000,98.32126308092569,98.67550088178118,98.67550088178118
10.0,10000,10000,91.92246990272513,96.81815654183383,96.81815654183383
10.0,10000,30000,95.2871348615454,97.77449951649486,97.77449951649486
